name,category,dimensions,unit_weight,unit,tolerance_min_pct,tolerance_max_pct,aliases,status
ISA 75x75x6,Angles,"[75, 75, 6]",6.8,kg/m,5.0,5.0,"[""ANG75""]",MaterialStatusEnum.Active
ISA 100x100x8,Angles,"[100, 100, 8]",12.1,kg/m,5.0,5.0,"[""ANG100""]",MaterialStatusEnum.Active
ISMB 100,Beams,[100],11.5,kg/m,5.0,5.0,"[""BEAM100"", ""MB100""]",MaterialStatusEnum.Active
ISMB 150,Beams,[150],14.9,kg/m,5.0,5.0,"[""BEAM150"", ""MB150""]",MaterialStatusEnum.Active
ISMB 200,Beams,[200],25.4,kg/m,5.0,5.0,"[""BEAM200"", ""MB200""]",MaterialStatusEnum.Active
ISMB 250,Beams,[250],37.3,kg/m,5.0,5.0,"[""BEAM250""]",MaterialStatusEnum.Active
ISMB 300,Beams,[300],46.1,kg/m,5.0,5.0,"[""BEAM300""]",MaterialStatusEnum.Active
ISMC 75,Channels,[75],6.8,kg/m,5.0,5.0,"[""CHNL75"", ""CHANNEL75"", ""RAIPUR75""]",MaterialStatusEnum.Active
ISMC 100,Channels,[100],9.56,kg/m,5.0,5.0,"[""CHNL100"", ""CHANNEL100"", ""RAIPUR100""]",MaterialStatusEnum.Active
ISMC 125,Channels,[125],13.1,kg/m,5.0,5.0,"[""CHNL125""]",MaterialStatusEnum.Active
ISMC 150,Channels,[150],16.8,kg/m,5.0,5.0,"[""CHNL150""]",MaterialStatusEnum.Active
ISMC 200,Channels,[200],22.1,kg/m,5.0,5.0,"[""CHNL200""]",MaterialStatusEnum.Active
TMT 8mm,Bars,[8],0.395,kg/m,7.0,7.0,"[""TMT8"", ""REBAR8""]",MaterialStatusEnum.Active
TMT 10mm,Bars,[10],0.617,kg/m,7.0,7.0,"[""TMT10"", ""REBAR10""]",MaterialStatusEnum.Active
TMT 12mm,Bars,[12],0.888,kg/m,7.0,7.0,"[""TMT12"", ""REBAR12""]",MaterialStatusEnum.Active
TMT 16mm,Bars,[16],1.58,kg/m,7.0,7.0,"[""TMT16""]",MaterialStatusEnum.Active
TMT 20mm,Bars,[20],2.47,kg/m,7.0,7.0,"[""TMT20""]",MaterialStatusEnum.Active
TMT 25mm,Bars,[25],3.85,kg/m,7.0,7.0,"[""TMT25""]",MaterialStatusEnum.Active
MS Plate 6mm,Plates,[6],47.1,kg/m,5.0,5.0,"[""PLATE6"", ""PLT6""]",MaterialStatusEnum.Active
MS Plate 8mm,Plates,[8],62.8,kg/m,5.0,5.0,"[""PLATE8"", ""PLT8""]",MaterialStatusEnum.Active
MS Plate 10mm,Plates,[10],78.5,kg/m,5.0,5.0,"[""PLATE10"", ""PLT10""]",MaterialStatusEnum.Active
MS Plate 12mm,Plates,[12],94.2,kg/m,5.0,5.0,"[""PLATE12"", ""PLT12""]",MaterialStatusEnum.Active
MS Pipe 15mm,Pipes,[15],1.21,kg/m,6.0,6.0,"[""PIPE15""]",MaterialStatusEnum.Active
MS Pipe 20mm,Pipes,[20],1.68,kg/m,6.0,6.0,"[""PIPE20""]",MaterialStatusEnum.Active
MS Pipe 25mm,Pipes,[25],2.67,kg/m,6.0,6.0,"[""PIPE25""]",MaterialStatusEnum.Active
MS Pipe 32mm,Pipes,[32],3.56,kg/m,6.0,6.0,"[""PIPE32""]",MaterialStatusEnum.Active
8MM Square Rod,Bars,[8.0],3.2,kg/piece,5.0,5.0,"[""SQR8""]",MaterialStatusEnum.Active
9MM Square Rod,Bars,[9.0],3.6,kg/piece,5.0,5.0,"[""SQR9""]",MaterialStatusEnum.Active
10MM Square Rod,Bars,[10.0],5.0,kg/piece,5.0,5.0,"[""SQR10""]",MaterialStatusEnum.Active
12MM Square Rod,Bars,[12.0],6.75,kg/piece,5.0,5.0,"[""SQR12""]",MaterialStatusEnum.Active
16MM Square Rod,Bars,[16.0],11.0,kg/piece,5.0,5.0,"[""SQR16""]",MaterialStatusEnum.Active
20MM Square Rod,Bars,[20.0],19.0,kg/piece,5.0,5.0,"[""SQR20""]",MaterialStatusEnum.Active
25MM Square Rod,Bars,[25.0],28.0,kg/piece,5.0,5.0,"[""SQR25""]",MaterialStatusEnum.Active
32MM Square Rod,Bars,[32.0],48.0,kg/piece,5.0,5.0,"[""SQR32""]",MaterialStatusEnum.Active
40MM square Rod,Bars,[40.0],75.0,kg/piece,5.0,5.0,"[""SQR40""]",MaterialStatusEnum.Active
50MM square Rod,Bars,[50.0],118.0,kg/piece,5.0,5.0,"[""SQR50""]",MaterialStatusEnum.Active
10MM Round Rod,Bars,[10.0],3.7,kg/piece,5.0,5.0,"[""RR10""]",MaterialStatusEnum.Active
12MM Round Rod,Bars,[12.0],5.3,kg/piece,5.0,5.0,"[""RR12""]",MaterialStatusEnum.Active
16MM Round Rod Vizag Steel,Bars,[16.0],10.5,kg/piece,5.0,5.0,"[""RR16V""]",MaterialStatusEnum.Active
16MM Round Rod,Bars,[16.0],10.5,kg/piece,5.0,5.0,"[""RR16""]",MaterialStatusEnum.Active
20MM Round Rod,Bars,[20.0],15.0,kg/piece,5.0,5.0,"[""RR20""]",MaterialStatusEnum.Active
20MM Round Rod Vizag Steel,Bars,[20.0],15.0,kg/piece,5.0,5.0,"[""RR20V""]",MaterialStatusEnum.Active
25MM Round Rod,Bars,[25.0],23.0,kg/piece,5.0,5.0,"[""RR25R""]",MaterialStatusEnum.Active
25MM Round Rod Vizag Steel,Bars,[25.0],23.0,kg/piece,5.0,5.0,"[""RR25V""]",MaterialStatusEnum.Active
32MM Round Rod,Bars,[32.0],38.0,kg/piece,5.0,5.0,"[""RR32""]",MaterialStatusEnum.Active
32MM Round Rod Vizag Steel,Bars,[32.0],38.0,kg/piece,5.0,5.0,"[""RR32V""]",MaterialStatusEnum.Active
40MM Round Rod,Bars,[40.0],60.0,kg/piece,5.0,5.0,"[""RR40""]",MaterialStatusEnum.Active
40MM Round Rod Vizag Steel,Bars,[40.0],60.0,kg/piece,5.0,5.0,"[""RR40V""]",MaterialStatusEnum.Active
50MM Round Rod,Bars,[50.0],92.0,kg/piece,5.0,5.0,"[""RR50""]",MaterialStatusEnum.Active
63MM Round Rod,Bars,[63.0],150.0,kg/piece,5.0,5.0,"[""RR63""]",MaterialStatusEnum.Active
80MM Round Rod,Bars,[80.0],240.0,kg/piece,5.0,5.0,"[""RR80""]",MaterialStatusEnum.Active
90MM Round Rod,Bars,[90.0],300.0,kg/piece,5.0,5.0,"[""RR90""]",MaterialStatusEnum.Active
120MM Round Rod,Bars,[120.0],532.0,kg/piece,5.0,5.0,"[""RR120""]",MaterialStatusEnum.Active
8mm Simhadri TMT,Bars,[8.0],4.74,kg/piece,5.0,5.0,"[""TMT8S""]",MaterialStatusEnum.Active
10mm Simhadri TMT,Bars,[10.0],7.4,kg/piece,5.0,5.0,"[""TMT10S""]",MaterialStatusEnum.Active
12mm Simhadri TMT,Bars,[12.0],10.7,kg/piece,5.0,5.0,"[""TMT12S""]",MaterialStatusEnum.Active
16mm Simhadri TMT,Bars,[16.0],19.0,kg/piece,5.0,5.0,"[""TMT16S""]",MaterialStatusEnum.Active
20mm Simhadri TMT,Bars,[20.0],30.0,kg/piece,5.0,5.0,"[""TMT20S""]",MaterialStatusEnum.Active
25mm Simhadri TMT,Bars,[25.0],46.0,kg/piece,5.0,5.0,"[""TMT25S""]",MaterialStatusEnum.Active
20mm SAIL TMT,Bars,[20.0],30.0,kg/piece,5.0,5.0,"[""TMT20SA""]",MaterialStatusEnum.Active
25mm SAIL TMT,Bars,[25.0],46.0,kg/piece,5.0,5.0,"[""TMT25SA""]",MaterialStatusEnum.Active
